Clubname,Aliases
Debattierclub Aachen e.V.,Aachen;DC Aachen
Debattierclub Bayreuth,Bayreuth;DC Bayreuth
Berlin Debating Union,BDU;Berlin
Streitkultur Berlin e.V.,SK Berlin
RhetorikRing BSP,BSP
Debattierclub Bonn,Bonn;DC Bonn
Dresden Debating Union,DDU;Dresden
Wortsport Eichstätt,Eichstätt
AFA DC Eisenstadt, Eisenstadt;DC Eisenstadt
Debattierclub FAU e.V.,FAU
Debattierclub Goethes Faust,Frankfurt
Debattierclub Freiburg,Freiburg;DC Freiburg
The Soapbox,Friedrichshafen
Debattierclub Hansenberg,Hansenberg
Georg-Büchner-Debattierclub Gießen e.V.,Gießen;DC Gießen
Debattierclub Georgia Augusta e.V.,Göttingen;DC Göttingen;Debattierclub Göttingen
AFA DC Graz,Graz;DC Graz
Debattierclub Greifswald,Greifswald;DC Greifswald
Klartext Halle,Halle
Debattierclub Hamburg,DCH;Hamburg
Debattierclub Hannover e.V.,Hannover;DC Hannover;Debattierclub Hannover
Debating Club Heidelberg e.V.,DC Heidelberg;Debating Heidelberg;Heidelbergs zweitältester Debattierclub;Der andere Club aus Heidelberg
Die Rederei,Heidelberg;Rederei;Rederei Heidelberg
Debattiergesellschaft Jena e.V.,Jena;Debattiergesellschaft Jena
debatING.,Kaiserslautern;DC Kaiserslautern
Debatte Karlsruhe e.V.,Debatte Karlsruhe
AFA DC Klagenfurt,Klagenfurt;DC Klagenfurt
Debattierclub Köln,Köln;DC Köln
Streitpunkt Leipzig,Leipzig
AFA DC Linz,Linz;DC Linz
Debattierclub Magdeburg e.V.,Magdeburg;DC Magdeburg;Debattierclub Magdeburg
Debattierclub Johannes Gutenberg,Mainz;DCJG;DC Mainz
Mannheim Debating Union,Mannheim
Brüder Grimm Debattierclub Marburg e.V.,BGDM
Hannah Arendt DC Marburg,Marburg;DC Marburg
Debattierclub München,München;DC München
Debattierclub Münster,Münster;DC Münster
The Oxford Union,Oxford
Debattierclub Passau,Passau;DC Passau
Wortgefechte Potsdam,Potsdam;DC Potsdam
Debattierclub Saar e.V.,Saarbrücken;DC Saar
Redesalz,Salzburg;DC Salzburg
Debattierclub Stuttgart e.V.,Stuttgart;DC Stuttgart;Debattierclub Stuttgart
Debattierclub Hohenheim e.V.,Hohenheim;DC Hohenheim;Debattierclub Hohenheim
Streitkultur e.V.,Tübingen;Streitkultur Tübingen;SK;SK Tübingen
AFA DC Wien,AFA Wien
Debattierklub Wien;DC Wien,Wien
F.I.R.E.,FIRE
Redekunst e.V.,Redekunst
Debattierclub Würzburg,Würzburg;DC Würzburg
Debattierclub der Studierenden der ETH Zürich,Zürich;DC Zürich