Id,Clubname,Aliases,Icon,Header
aachen,Debattierclub Aachen e.V.,Aachen;DC Aachen,aachen.png,
bayreuth,Debattierclub Bayreuth,Bayreuth;DC Bayreuth,,
berlin,Berlin Debating Union,BDU;Berlin,,
streitkultur_berlin,Streitkultur Berlin e.V.,SK Berlin,,
rhetorikring_bsp,RhetorikRing BSP,BSP,,
bonn,Debattierclub Bonn,Bonn;DC Bonn,,
dresden,Dresden Debating Union,DDU;Dresden,,
eichstaett,Wortsport Eichstätt,Eichstätt,,
eisenstadt,AFA DC Eisenstadt,Eisenstadt;DC Eisenstadt,,
fau,Debattierclub FAU e.V.,FAU,,
frankfurt,Debattierclub Goethes Faust,Frankfurt,,
freiburg,Debattierclub Freiburg,Freiburg;DC Freiburg,,
friedrichshafen,The Soapbox,Friedrichshafen,,
hansenberg,Debattierclub Hansenberg,Hansenberg,,
giessen,Georg-Büchner-Debattierclub Gießen e.V.,Gießen;DC Gießen,,
goettingen,Debattierclub Georgia Augusta e.V.,Göttingen;DC Göttingen;Debattierclub Göttingen,,
graz,AFA DC Graz,Graz;DC Graz,,
greifswald,Debattierclub Greifswald,Greifswald;DC Greifswald,,
halle,Klartext Halle,Halle,,
hamburg,Debattierclub Hamburg,DCH;Hamburg,,
hannover,Debattierclub Hannover e.V.,Hannover;DC Hannover;Debattierclub Hannover,,
dc_heidelberg,Debating Club Heidelberg e.V.,DC Heidelberg;Debating Heidelberg;Heidelbergs zweitältester Debattierclub;Der andere Club aus Heidelberg,,
rederei_heidelberg,Die Rederei,Heidelberg;Rederei;Rederei Heidelberg,icon_rederei.png,header_rederei.png
jena,Debattiergesellschaft Jena e.V.,Jena;Debattiergesellschaft Jena,,
kaiserslautern,debatING.,Kaiserslautern;DC Kaiserslautern,,
karlsruhe,Debatte Karlsruhe e.V.,Debatte Karlsruhe,,
klagenfurt,AFA DC Klagenfurt,Klagenfurt;DC Klagenfurt,,
koeln,Debattierclub Köln,Köln;DC Köln,,
leipzig,Streitpunkt Leipzig,Leipzig,,
linz,AFA DC Linz,Linz;DC Linz,,
magdeburg,Debattierclub Magdeburg e.V.,Magdeburg;DC Magdeburg;Debattierclub Magdeburg,,
mainz,Debattierclub Johannes Gutenberg,Mainz;DCJG;DC Mainz,,
mannheim,Mannheim Debating Union,Mannheim,,
marburg_bgdm,Brüder Grimm Debattierclub Marburg e.V.,BGDM,,
marburg_hannah_arendt,Hannah Arendt DC Marburg,Marburg;DC Marburg,,
muenchen,Debattierclub München,München;DC München,,
muenster,Debattierclub Münster,Münster;DC Münster,,
oxford,The Oxford Union,Oxford,,
passau,Debattierclub Passau,Passau;DC Passau,,
potsdam,Wortgefechte Potsdam,Potsdam;DC Potsdam,,
saarbruecken,Debattierclub Saar e.V.,Saarbrücken;DC Saar,,
salzburg,Redesalz,Salzburg;DC Salzburg,,
stuttgart,Debattierclub Stuttgart e.V.,Stuttgart;DC Stuttgart;Debattierclub Stuttgart,,
hohenheim,Debattierclub Hohenheim e.V.,Hohenheim;DC Hohenheim;Debattierclub Hohenheim,,
tuebingen,Streitkultur e.V.,Tübingen;Streitkultur Tübingen;SK;SK Tübingen,,
wien,AFA DC Wien,AFA Wien,,
wien_debattierklub,Debattierklub Wien;DC Wien,Wien,,
fire,F.I.R.E.,FIRE,,
redekust,Redekunst e.V.,Redekunst,,
wuerzburg,Debattierclub Würzburg,Würzburg;DC Würzburg,,
zuerich,Debattierclub der Studierenden der ETH Zürich,Zürich;DC Zürich,,